Timestamp,Chip_ID,Core_Voltage_V,Temperature_C,Dynamic_Power_W
1710500000,CX8_001,0.80,42.1,12.1
1710500010,CX8_001,0.80,44.2,12.3
1710500020,CX8_001,0.80,46.3,12.5
1710500030,CX8_001,0.80,48.4,12.8
1710500040,CX8_001,0.80,50.5,13.1
1710500050,CX8_001,0.80,52.5,13.3
1710500060,CX8_001,0.80,54.6,13.6
1710500070,CX8_001,0.80,56.7,13.9
1710500080,CX8_001,0.80,58.8,14.2
1710500090,CX8_001,0.80,60.8,14.5
1710500100,CX8_001,0.80,62.9,14.8
1710500110,CX8_001,0.82,64.9,16.2
1710500120,CX8_001,0.82,66.8,16.5
1710500130,CX8_001,0.82,68.7,16.8
1710500140,CX8_001,0.82,70.5,17.1
1710500150,CX8_001,0.82,72.2,17.4
1710500160,CX8_001,0.82,73.8,17.6
1710500170,CX8_001,0.82,75.3,17.9
1710500180,CX8_001,0.82,76.7,18.2
1710500190,CX8_001,0.82,77.9,18.4
1710500200,CX8_001,0.82,79.0,18.7
1710500210,CX8_001,0.80,78.8,15.2
1710500220,CX8_001,0.80,78.2,14.9
1710500230,CX8_001,0.80,77.7,14.7
1710500240,CX8_001,0.80,77.2,14.5
1710500250,CX8_001,0.80,76.8,14.4
1710500260,CX8_001,0.80,76.4,14.2
1710500270,CX8_001,0.80,76.1,14.1
1710500280,CX8_001,0.80,75.8,14.0
1710500290,CX8_001,0.80,75.5,13.9
1710500300,CX8_001,0.80,75.2,13.8
1710500310,CX8_001,0.80,75.0,13.7
1710500320,CX8_001,0.80,74.8,13.7
1710500330,CX8_001,0.80,74.6,13.6
1710500340,CX8_001,0.80,74.5,13.6
1710500350,CX8_001,0.80,74.3,13.5
1710500360,CX8_001,0.80,74.2,13.5
1710500370,CX8_001,0.80,74.1,13.4
1710500380,CX8_001,0.80,74.0,13.4
1710500390,CX8_001,0.80,73.9,13.3
1710500400,CX8_001,0.80,73.8,13.3
1710500410,CX8_001,0.80,73.7,13.3
1710500420,CX8_001,0.80,73.6,13.2
1710500430,CX8_001,0.80,73.5,13.2
1710500440,CX8_001,0.80,73.5,13.2
1710500450,CX8_001,0.80,73.4,13.1
1710500460,CX8_001,0.80,73.4,13.1
1710500470,CX8_001,0.80,73.3,13.1
1710500480,CX8_001,0.80,73.3,13.1
1710500490,CX8_001,0.80,73.2,13.0
1710500500,CX8_001,0.80,73.2,13.0
1710500510,CX8_001,0.80,73.1,13.0
1710500520,CX8_001,0.80,73.1,13.0
1710500530,CX8_001,0.80,73.0,12.9
1710500540,CX8_001,0.80,73.0,12.9
1710500550,CX8_001,0.80,72.9,12.9
1710500560,CX8_001,0.80,72.9,12.9
1710500570,CX8_001,0.80,72.9,12.9
1710500580,CX8_001,0.80,72.8,12.8
1710500590,CX8_001,0.80,72.8,12.8
